"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://kzeso.com/","text/html; charset=UTF-8","200","OK","Indexable","","ПрАО «КЗЭСО» - Электросварочное оборудование, путевая техника","61","638","Производственно-инжиниринговая компания, которая специализируется на разработке и производстве электросварочного оборудования и путевой техники.","144","1053","","0","Рельсосварочное оборудование","28","Рельсосварочное оборудование","28","Двухдорожная техника","20","Путевая техника","15","","","","https://kzeso.com/","","","","","","58629","110","49","2,245","100,000","Very Easy","1,895","0","","138","67","0","21,270","46","24","0","17","16","0","","","","","f955e7b2b57944c887356e93aafd5536","2,395","","","","","1.1","https://kzeso.com/","2023-04-27 12:51:46"
"http://kzeso.com/catalog/electric-welding-equipment/","text/html; charset=UTF-8","200","OK","Indexable","","Электросварочное оборудование купить - завод электросварочного оборудования | KZESO","83","861","Трансформаторы, Выпрямители, Полуавтомат, Автоматы производство электросварочного оборудования и путевой техники. Недорогая цена, Гарантия, Качество.","149","1088","","0","Электросварочное оборудование","29","","0","Трансформаторы","14","Выпрямители","11","","","","http://kzeso.com/catalog/electric-welding-equipment/","","","","","","56121","111","36","3,083","100,000","Very Easy","1,772","1","","698","310","0","98,410","36","20","0","3","2","0","","","","","406d814d1c33872ac5589105c79fb1b1","1,677","","","","","1.1","http://kzeso.com/catalog/electric-welding-equipment/","2023-04-27 12:51:49"
"http://kzeso.com/contacts/dealers/","text/html; charset=UTF-8","200","OK","Indexable","","Представительства - KZESO","25","266","ООО Контакт СВ – дилер 49033, Днепр, ул. Казакова 4, кв. 45 Тел.: +380 50 320 22 82, +380 50 340 0630 E-mail: kontakt-sv@ukr.net","128","843","","0","Украина","7","Республика Беларусь","19","","0","","0","","","","http://kzeso.com/contacts/dealers/","","","","","","53597","391","116","3,371","100,000","Very Easy","5,686","1","","191","179","0","56,830","51","40","0","5","4","0","","","","","cd2be77809e494d0abf69e21ef3b37a9","1,738","","","","","1.1","http://kzeso.com/contacts/dealers/","2023-04-27 12:51:49"
"https://kzeso.com/vitayemo-z-dnem-mashinobudivnika/","text/html; charset=UTF-8","200","OK","Indexable","","Вітаємо з днем машинобудівника! - KZESO","39","404","Шановні машинобудівники України! Вітаємо Вас та Ваші колективи з професійним святом! Машинобудування є основним показником розвитку країни за будь-яких економіч","160","1149","","0","Вітаємо з днем машинобудівника!","31","ПрАО «Каховский завод электросварочного оборудования»","53","","0","","0","","","","https://kzeso.com/vitayemo-z-dnem-mashinobudivnika/","","","","","","52947","308","72","4,278","100,000","Very Easy","4,830","1","","17","4","0","1,270","56","46","0","4","3","0","","","","","e7e0509a80b16d6ab49071996172e287","1,824","","","","","1.1","https://kzeso.com/vitayemo-z-dnem-mashinobudivnika/","2023-04-27 12:51:51"
"https://kzeso.com/catalog/","text/html; charset=UTF-8","200","OK","Indexable","","Продукция - KZESO","17","181","Транспортное средство двух-дорожное оснащенное системой движения по железной дороге двух типов: 1) K-RR-32.WF-1 – фрикционный тип; 2) K-RR-32.HD-1 – гидростатич","160","1135","","0","Продукция","9","","0","","0","","0","","","","https://kzeso.com/catalog/","","","","","","47159","203","46","4,413","100,000","Very Easy","3,623","1","","73","68","0","21,590","48","41","0","3","2","0","","","","","25247fdff5a6629eb4d8a9f4b07b1ab8","2,131","","","","","1.1","https://kzeso.com/catalog/","2023-04-27 12:51:53"
"https://kzeso.com/service/","text/html; charset=UTF-8","200","OK","Indexable","","Сервис - KZESO","14","146","машины подвесные для контактной стыковой сварки рельсов К920, К922-1; машины стационарные для контактной стыковой сварки рельсов К1000, К1100; машина стационарн","160","1176","","0","ПрАО «Каховский завод электросварочного оборудования»","53","","0","","0","","0","","","","https://kzeso.com/service/","","","","","","54919","536","96","5,583","100,000","Very Easy","8,852","1","","73","68","0","21,590","51","44","0","4","3","0","","","","","3173780b09bcc081cd674861c340a189","1,911","","","","","1.1","https://kzeso.com/service/","2023-04-27 12:51:54"
"https://kzeso.com/about/","text/html; charset=UTF-8","200","OK","Indexable","","О заводе - KZESO","16","163","За более чем 90-летнюю историю КЗЭСО сконцентрирован мощный технический, производственный и коммерческий потенциал, передовые технологии в проектировании и прои","160","1177","","0","ПрАО «Каховский завод электросварочного оборудования»","53","","0","","0","","0","","","","https://kzeso.com/about/","","","","","","72237","621","114","5,447","100,000","Very Easy","7,533","1","","73","68","0","21,590","51","44","0","18","17","0","","","","","1dc3d9acec130981429427495c7e5aaf","2,144","","","","","1.1","https://kzeso.com/about/","2023-04-27 12:51:56"
"https://kzeso.com/pressroom/","text/html; charset=UTF-8","200","OK","Indexable","","Пресс-центр - KZESO","19","196","","0","0","","0","Пресс-центр ПрАО «КЗЭСО»","24","ПрАО «Каховский завод электросварочного оборудования»","53","З Новим Роком та Різдвом Христовим!","35","Вітаємо з Днем залізничника України!","36","","","","https://kzeso.com/pressroom/","https://kzeso.com/pressroom/page/2/","","","","","64813","636","168","3,786","100,000","Very Easy","8,027","1","","73","68","0","21,590","84","56","0","4","3","0","","","","","f96d1f583617f6ccb01a28f312f76ee2","2,685","","","","","1.1","https://kzeso.com/pressroom/","2023-04-27 12:51:56"
"http://kzeso.com/contacts/","text/html; charset=UTF-8","200","OK","Indexable","","Контакты - KZESO","16","172","Отдел продаж рельсосварочного оборудования E-mail: export@kzeso.com","67","485","","0","ПрАО «Каховский завод электросварочного оборудования»","53","","0","","0","","0","","","","http://kzeso.com/contacts/","","","","","","53442","257","78","3,295","100,000","Very Easy","4,254","1","","610","315","0","100,000","52","40","0","4","3","0","","","","","625727ab310f096f1ba72e16a1744111","1,813","","","","","1.1","http://kzeso.com/contacts/","2023-04-27 12:51:58"
"https://kzeso.com/vitayemo-z-dnem-zaliznichnika-ukrayini/","text/html; charset=UTF-8","200","OK","Indexable","","Вітаємо з Днем залізничника України! - KZESO","44","445","Шановні працівники українських залізниць! Колектив ПрАТ «КЗЕСО» вітає Вас з професійним святом — Днем залізничника України! Бажаємо здоров’я і благополуччя, ста","160","1127","","0","Вітаємо з Днем залізничника України!","36","ПрАО «Каховский завод электросварочного оборудования»","53","","0","","0","","","","https://kzeso.com/vitayemo-z-dnem-zaliznichnika-ukrayini/","","","","","","52554","259","64","4,047","100,000","Very Easy","4,073","1","","17","4","0","1,270","56","46","0","4","3","0","","","","","fa21da3681ab326c9206f441402e2e7f","1,981","","","","","1.1","https://kzeso.com/vitayemo-z-dnem-zaliznichnika-ukrayini/","2023-04-27 12:51:59"
